AIRPORT_ID,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
14693,St. Brieuc Airport,"St. Brieuc, France",42701,France,FR,,48,N,30,47,48.51305556,2,W,48,32,-2.80888889,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14694,Santa Ana del Yacuma,"Santa Ana, Bolivia",31201,Bolivia,BO,,13,S,45,44,-13.76222222,65,W,26,7,-65.43527778,7/1/2011 12:00:00 AM,,0,1
14694,Yacuma,"Santa Ana, Bolivia",31201,Bolivia,BO,,13,S,43,0,-13.71666667,65,W,27,0,-65.45000000,6/1/1976 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14695,Sheboygan County Memorial,"Sheboygan, WI",4501,United States,US,Wisconsin,43,N,46,11,43.76972222,87,W,51,6,-87.85166667,7/1/2011 12:00:00 AM,6/30/2025 12:00:00 AM,0,0
14695,Sheboygan County Memorial,"Sheboygan, WI",4501,United States,US,Wisconsin,43,N,46,18,43.77166667,87,W,51,8,-87.85222222,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14695,Sheboygan County Memorial International,"Sheboygan, WI",4501,United States,US,Wisconsin,43,N,46,11,43.76972222,87,W,51,6,-87.85166667,7/1/2025 12:00:00 AM,,0,1
14696,Michiana Regional,"South Bend, IN",4201,United States,US,Indiana,41,N,42,16,41.70444444,86,W,18,45,-86.31250000,1/1/1950 12:00:00 AM,12/31/2000 12:00:00 AM,0,0
14696,South Bend Airport,"South Bend, IN",4201,United States,US,Indiana,41,N,42,30,41.70833333,86,W,19,2,-86.31722222,3/1/2012 12:00:00 AM,5/31/2014 12:00:00 AM,0,0
14696,South Bend International,"South Bend, IN",4201,United States,US,Indiana,41,N,42,30,41.70833333,86,W,19,2,-86.31722222,6/1/2014 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
14696,South Bend International,"South Bend, IN",4201,United States,US,Indiana,41,N,42,30,41.70833333,86,W,19,2,-86.31722222,12/1/2017 12:00:00 AM,,0,1
