RANK,AIRPORT_ID,AIRPORT_CODE,AIRPORT_NAME,CITY,DEPARTURES,ARRIVALS,TOTAL_THROUGHPUT
83,11996,GSP,Greenville-Spartanburg International,"Greer, SC",1098,1098,2196
84,11423,DSM,Des Moines International,"Des Moines, IA",1051,1055,2106
85,10372,ASE,Aspen Pitkin County Sardy Field,"Aspen, CO",1025,1023,2048
86,12197,HPN,Westchester County,"White Plains, NY",978,978,1956
87,11109,COS,City of Colorado Springs Municipal,"Colorado Springs, CO",974,974,1948
88,13485,MSN,Dane County Regional-Truax Field,"Madison, WI",961,966,1927
89,15412,TYS,McGhee Tyson,"Knoxville, TN",962,963,1925
90,12992,LIT,Bill and Hillary Clinton Nat Adams Field,"Little Rock, AR",950,950,1900
91,15919,XNA,Northwest Arkansas National,"Fayetteville, AR",933,932,1865
92,11638,FAT,Fresno Yosemite International,"Fresno, CA",920,921,1841
93,15096,SYR,Syracuse Hancock International,"Syracuse, NY",912,911,1823
94,14193,PNS,Pensacola International,"Pensacola, FL",902,903,1805
95,10257,ALB,Albany International,"Albany, NY",882,883,1765
96,14576,ROC,Frederick Douglass Grtr Rochester International,"Rochester, NY",858,861,1719
97,12278,ICT,Wichita Dwight D Eisenhower National,"Wichita, KS",801,802,1603
98,14761,SFB,Orlando Sanford International,"Sanford, FL",798,798,1596
99,10849,BZN,Bozeman Yellowstone International,"Bozeman, MT",781,779,1560
100,13158,MAF,Midland International Air and Space Port,"Midland/Odessa, TX",771,772,1543
101,11624,EYW,Key West International,"Key West, FL",756,757,1513
102,11503,EGE,Eagle County Regional,"Eagle, CO",736,735,1471
103,13577,MYR,Myrtle Beach International,"Myrtle Beach, SC",736,735,1471
104,11995,GSO,Piedmont Triad International,"Greensboro/High Point, NC",726,726,1452
105,14082,PGD,Punta Gorda Airport,"Punta Gorda, FL",714,715,1429
106,11003,CID,The Eastern Iowa,"Cedar Rapids/Iowa City, IA",703,703,1406
107,12217,HSV,Huntsville International-Carl T Jones Field,"Huntsville, AL",663,666,1329
108,14783,SGF,Springfield-Branson National,"Springfield, MO",654,654,1308
109,14112,PIE,St Pete Clearwater International,"St. Petersburg, FL",654,654,1308
110,12945,LEX,Blue Grass,"Lexington, KY",626,628,1254
111,14696,SBN,South Bend International,"South Bend, IN",621,621,1242
112,10431,AVL,Asheville Regional,"Asheville, NC",617,623,1240
113,11637,FAR,Hector International,"Fargo, ND",609,610,1219
114,12441,JAC,Jackson Hole,"Jackson, WY",597,597,1194
115,15624,VPS,Eglin AFB Destin Fort Walton Beach,"Valparaiso, FL",588,588,1176
