RANK,AIRPORT_ID,AIRPORT_CODE,AIRPORT_NAME,CITY,DEPARTURES,ARRIVALS,MIN_FLOW,BALANCE_RATIO,TOTAL_THROUGHPUT
99,10849,BZN,Bozeman Yellowstone International,"Bozeman, MT",781,779,779,99.87,1560
100,13158,MAF,Midland International Air and Space Port,"Midland/Odessa, TX",771,772,771,99.94,1543
101,11624,EYW,Key West International,"Key West, FL",756,757,756,99.93,1513
102,13577,MYR,Myrtle Beach International,"Myrtle Beach, SC",736,735,735,99.93,1471
103,11503,EGE,Eagle County Regional,"Eagle, CO",736,735,735,99.93,1471
104,11995,GSO,Piedmont Triad International,"Greensboro/High Point, NC",726,726,726,100.0,1452
105,14082,PGD,Punta Gorda Airport,"Punta Gorda, FL",714,715,714,99.93,1429
106,11003,CID,The Eastern Iowa,"Cedar Rapids/Iowa City, IA",703,703,703,100.0,1406
107,12217,HSV,Huntsville International-Carl T Jones Field,"Huntsville, AL",663,666,663,99.77,1329
108,14783,SGF,Springfield-Branson National,"Springfield, MO",654,654,654,100.0,1308
109,14112,PIE,St Pete Clearwater International,"St. Petersburg, FL",654,654,654,100.0,1308
110,12945,LEX,Blue Grass,"Lexington, KY",626,628,626,99.84,1254
111,14696,SBN,South Bend International,"South Bend, IN",621,621,621,100.0,1242
112,10431,AVL,Asheville Regional,"Asheville, NC",617,623,617,99.52,1240
113,11637,FAR,Hector International,"Fargo, ND",609,610,609,99.92,1219
114,12441,JAC,Jackson Hole,"Jackson, WY",597,597,597,100.0,1194
115,15624,VPS,Eglin AFB Destin Fort Walton Beach,"Valparaiso, FL",588,588,588,100.0,1176
116,11267,DAY,James M Cox/Dayton International,"Dayton, OH",581,584,581,99.74,1165
117,12402,ITO,Hilo International,"Hilo, HI",567,567,567,100.0,1134
118,11603,EUG,Mahlon Sweet Field,"Eugene, OR",562,563,562,99.91,1125
119,14689,SBA,Santa Barbara Municipal,"Santa Barbara, CA",560,560,560,100.0,1120
120,10408,ATW,Appleton International,"Appleton, WI",559,559,559,100.0,1118
121,14321,PWM,Portland International Jetport,"Portland, ME",562,559,559,99.73,1121
122,10466,AZA,Mesa Gateway,"Phoenix, AZ",553,554,553,99.91,1107
123,11775,FSD,Joe Foss Field,"Sioux Falls, SD",549,549,549,100.0,1098
124,10785,BTV,Patrick Leahy Burlington International,"Burlington, VT",536,535,535,99.91,1071
125,14252,PSC,Tri Cities,"Pasco/Kennewick/Richland, WA",515,514,514,99.9,1029
126,15024,STT,Cyril E King,"Charlotte Amalie, VI",506,506,506,100.0,1012
127,12448,JAN,Jackson Medgar Wiley Evers International,"Jackson/Vicksburg, MS",498,499,498,99.9,997
128,12896,LBB,Lubbock Preston Smith International,"Lubbock, TX",496,496,496,100.0,992
129,11823,FWA,Fort Wayne International,"Fort Wayne, IN",488,489,488,99.9,977
130,10868,CAE,Columbia Metropolitan,"Columbia, SC",483,485,483,99.79,968
131,10980,CHA,Lovell Field,"Chattanooga, TN",478,480,478,99.79,958
132,13256,MFE,McAllen International,"Mission/McAllen/Edinburg, TX",466,466,466,100.0,932
133,14489,RDM,Roberts Field,"Bend/Redmond, OR",456,455,455,99.89,911
134,12323,ILM,Wilmington International,"Wilmington, NC",453,451,451,99.78,904
135,14698,SBP,San Luis Obispo County Regional,"San Luis Obispo, CA",424,425,424,99.88,849
136,11481,ECP,Northwest Florida Beaches International,"Panama City, FL",416,415,415,99.88,831
137,12391,ISP,Long Island MacArthur,"Islip, NY",411,411,411,100.0,822
138,15249,TLH,Tallahassee International,"Tallahassee, FL",395,394,394,99.87,789
139,10279,AMA,Rick Husband Amarillo International,"Amarillo, TX",390,389,389,99.87,779
140,13476,MRY,Monterey Regional,"Monterey, CA",387,388,387,99.87,775
141,12206,HRL,Valley International,"Harlingen/San Benito, TX",386,386,386,100.0,772
142,11921,GJT,Grand Junction Regional,"Grand Junction, CO",379,379,379,100.0,758
143,14108,PIA,General Downing - Peoria International,"Peoria, IL",370,370,370,100.0,740
144,13296,MHT,Manchester Boston Regional,"Manchester, NH",367,367,367,100.0,734
145,10627,BIS,Bismarck Municipal,"Bismarck/Mandan, ND",366,366,366,100.0,732
146,10620,BIL,Billings Logan International,"Billings, MT",364,365,364,99.86,729
147,13264,MFR,Rogue Valley International - Medford,"Medford, OR",356,356,356,100.0,712
148,10781,BTR,Baton Rouge Metropolitan/Ryan Field,"Baton Rouge, LA",355,357,355,99.72,712
149,14814,SHV,Shreveport Regional,"Shreveport, LA",352,351,351,99.86,703
150,12094,HDN,Yampa Valley,"Hayden, CO",346,346,346,100.0,692
151,12523,JNU,Juneau International,"Juneau, AK",334,333,333,99.85,667
152,11413,DRO,Durango La Plata County,"Durango, CO",316,316,316,100.0,632
153,12280,IDA,Idaho Falls Regional,"Idaho Falls, ID",316,316,316,100.0,632
154,14457,RAP,Rapid City Regional,"Rapid City, SD",314,313,313,99.84,627
155,14794,SGU,St George Regional,"St. George, UT",308,308,308,100.0,616
156,13230,MDT,Harrisburg International,"Harrisburg, PA",306,305,305,99.84,611
157,10874,CAK,Akron-Canton Regional,"Akron, OH",298,298,298,100.0,596
158,11140,CRP,Corpus Christi International,"Corpus Christi, TX",297,297,297,100.0,594
159,13486,MSO,Missoula Montana,"Missoula, MT",288,288,288,100.0,576
160,11977,GRB,Green Bay Austin Straubel International,"Green Bay, WI",284,285,284,99.82,569
161,15023,STS,Charles M. Schulz - Sonoma County,"Santa Rosa, CA",279,279,279,100.0,558
162,11973,GPT,Gulfport-Biloxi International,"Gulfport/Biloxi, MS",279,278,278,99.82,557
163,13502,MTJ,Montrose Regional,"Montrose/Delta, CO",278,278,278,100.0,556
164,15041,SUN,Friedman Memorial,"Sun Valley/Hailey/Ketchum, ID",277,279,277,99.64,556
165,11630,FAI,Fairbanks International,"Fairbanks, AK",272,270,270,99.63,542
166,15380,TVC,Cherry Capital,"Traverse City, MI",272,270,270,99.63,542
167,13367,MLI,Quad Cities International,"Moline, IL",263,263,263,100.0,526
168,11648,FCA,Glacier Park International,"Kalispell, MT",254,254,254,100.0,508
169,14314,PVU,Provo Municipal,"Provo, UT",252,252,252,100.0,504
170,14674,SAF,Santa Fe Regional,"Santa Fe, NM",250,250,250,100.0,500
171,13360,MLB,Melbourne Orlando International,"Melbourne, FL",244,244,244,100.0,488
172,10561,BFL,Meadows Field,"Bakersfield, CA",240,240,240,100.0,480
173,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",233,233,233,100.0,466
174,11146,CRW,West Virginia International Yeager,"Charleston/Dunbar, WV",231,232,231,99.78,463
175,11252,DAB,Daytona Beach International,"Daytona Beach, FL",225,224,224,99.78,449
176,12003,GTF,Great Falls International,"Great Falls, MT",221,221,221,100.0,442
177,13433,MOT,Minot International,"Minot, ND",216,217,216,99.77,433
178,10158,ACY,Atlantic City International,"Atlantic City, NJ",205,206,205,99.76,411
179,10732,BQN,Rafael Hernandez,"Aguadilla, PR",204,204,204,100.0,408
180,11721,FNT,Bishop International,"Flint, MI",200,200,200,100.0,400
181,13277,MGM,Montgomery Regional,"Montgomery, AL",192,192,192,100.0,384
182,10666,BLI,Bellingham International,"Bellingham, WA",189,189,189,100.0,378
183,11953,GNV,Gainesville Regional,"Gainesville, FL",187,188,187,99.73,375
184,11122,CPR,Casper/Natrona County International,"Casper, WY",186,186,186,100.0,372
185,12819,KTN,Ketchikan International,"Ketchikan, AK",182,182,182,100.0,364
186,16869,XWA,Williston Basin International,"Williston, ND",178,178,178,100.0,356
187,12951,LFT,Lafayette Regional Paul Fournet Field,"Lafayette, LA",177,177,177,100.0,354
188,13184,MBS,MBS International,"Saginaw/Bay City/Midland, MI",176,176,176,100.0,352
189,10581,BGR,Bangor International,"Bangor, ME",166,166,166,100.0,332
190,10208,AGS,Augusta Regional at Bush Field,"Augusta, GA",165,165,165,100.0,330
191,13061,LRD,Laredo International,"Laredo, TX",164,164,164,100.0,328
192,11612,EVV,Evansville Regional,"Evansville, IN",164,164,164,100.0,328
193,13029,LNK,Lincoln Airport,"Lincoln, NE",163,163,163,100.0,326
194,11982,GRK,Robert Gray AAF,"Killeen, TX",152,152,152,100.0,304
195,11337,DLH,Duluth International,"Duluth, MN",150,150,150,100.0,300
196,10136,ABI,Abilene Regional,"Abilene, TX",150,151,150,99.67,301
197,12156,HLN,Helena Regional,"Helena, MT",149,149,149,100.0,298
198,11111,COU,Columbia Regional,"Columbia, MO",148,148,148,100.0,296
199,15027,STX,Henry E. Rohlsen,"Christiansted, VI",147,147,147,100.0,294
